4,1,35,27,11.75,0.25
5,2,106,67,11.75,0.5
6,10,9,69,11.75,0.25
6,10,9,46,11.75,0.25
6,10,9,55,11.75,0.25
7,4,48,79,11.75,0.5
4,1,35,31,12.0,0.25
6,10,9,69,12.0,0.25
6,10,9,35,12.0,0.125
4,1,35,41,12.25,0.25
5,2,106,65,12.25,0.25
6,10,9,69,12.25,0.25
6,10,9,46,12.25,0.25
6,10,9,55,12.25,0.25
7,4,48,77,12.25,0.25
4,1,35,40,12.5,0.25
5,2,106,63,12.5,0.25
6,10,9,49,12.5,0.25
6,10,9,69,12.5,0.25
6,10,9,38,12.5,0.125
6,10,9,35,12.5,0.125
7,4,48,75,12.5,0.25
4,1,35,31,12.75,0.25
5,2,106,65,12.75,0.25
6,10,9,69,12.75,0.25
6,10,9,46,12.75,0.25
6,10,9,55,12.75,0.25
7,4,48,77,12.75,0.5
4,1,35,31,13.0,0.25
6,10,9,69,13.0,0.25
6,10,9,35,13.0,0.125
4,1,35,32,13.25,0.25
5,2,106,65,13.25,0.25
6,10,9,69,13.25,0.25
6,10,9,46,13.25,0.25
6,10,9,55,13.25,0.25
7,4,48,77,13.25,0.25
4,1,35,34,13.5,0.25
5,2,106,65,13.5,0.25
6,10,9,49,13.5,0.25
6,10,9,69,13.5,0.25
6,10,9,38,13.5,0.125
6,10,9,35,13.5,0.125
7,4,48,77,13.5,0.25
4,1,35,31,13.75,0.25
5,2,106,65,13.75,0.25
6,10,9,69,13.75,0.25
6,10,9,46,13.75,0.25
6,10,9,55,13.75,0.25
7,4,48,77,13.75,0.25
4,1,35,41,14.0,0.25
5,2,106,63,14.0,0.25
6,10,9,69,14.0,0.25
6,10,9,35,14.0,0.125
7,4,48,75,14.0,0.25
4,1,35,29,14.25,0.25
5,2,106,62,14.25,0.25
6,10,9,69,14.25,0.25
6,10,9,46,14.25,0.25
6,10,9,35,14.25,0.125
6,10,9,55,14.25,0.25
7,4,48,74,14.25,0.25
4,1,35,31,14.5,0.125
5,2,106,58,14.5,0.25
6,10,9,49,14.5,0.25
6,10,9,69,14.5,0.25
6,10,9,38,14.5,0.125
6,10,9,35,14.5,0.125
7,4,48,70,14.5,0.25
4,1,35,34,14.625,0.125
4,1,35,31,14.75,0.25
5,2,106,58,14.75,0.5
6,10,9,69,14.75,0.25
6,10,9,46,14.75,0.25
6,10,9,55,14.75,0.25
7,4,48,70,14.75,0.5
4,1,35,31,15.0,0.25
6,10,9,69,15.0,0.25
6,10,9,35,15.0,0.125
4,1,35,38,15.25,0.25
5,2,106,63,15.25,0.25
6,10,9,69,15.25,0.25
6,10,9,46,15.25,0.25
6,10,9,55,15.25,0.25
7,4,48,75,15.25,0.5
4,1,35,31,15.5,0.25
6,10,9,49,15.5,0.25
6,10,9,69,15.5,0.25
6,10,9,38,15.5,0.125
6,10,9,35,15.5,0.125
4,1,35,32,15.75,0.25
5,2,106,62,15.75,0.5
6,10,9,69,15.75,0.25
6,10,9,46,15.75,0.25
6,10,9,55,15.75,0.25
7,4,48,74,15.75,0.5
4,1,35,32,16.0,0.25
6,10,9,69,16.0,0.25
6,10,9,35,16.0,0.125
4,1,35,39,16.25,0.25
5,2,106,63,16.25,0.25
6,10,9,69,16.25,0.25
6,10,9,46,16.25,0.25
6,10,9,55,16.25,0.25
7,4,48,75,16.25,0.25
4,1,35,44,16.5,0.25
5,2,106,65,16.5,0.25
6,10,9,49,16.5,0.25
6,10,9,69,16.5,0.25
6,10,9,38,16.5,0.125
6,10,9,35,16.5,0.125
7,4,48,77,16.5,0.25
4,1,35,46,16.75,0.25
5,2,106,70,16.75,0.25
6,10,9,69,16.75,0.25
6,10,9,46,16.75,0.25
6,10,9,55,16.75,0.25
7,4,48,82,16.75,0.5
4,1,35,46,17.0,0.25
6,10,9,69,17.0,0.25
